Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,publish_date
140000.0,2.0,2258.0,7.0,9.0,1969.0,62.0,47.0,9.0,Омеляновича-Павленка,3 вересня 2020 р.
105000.0,4.0,847.0,25.0,26.0,2018.0,124.0,71.0,16.0,,7 жовтня 2020 р.
175000.0,3.0,1786.0,25.0,26.0,2010.0,98.0,,,Ованеса Туманяна,1 жовтня 2020 р.
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,1 лютого
82000.0,2.0,1281.0,18.0,26.0,,64.0,,,Дніпровська,
168535.7,3.0,1872.6,4.0,9.0,1966.0,90.0,45.0,10.0,Саксаганського,28 жовтня 2020 р.
4500000.0,4.0,14610.0,18.0,21.0,2011.0,308.0,,,Івана Мазепи,19 жовтня 2020 р.
135000.0,2.0,2077.0,16.0,23.0,2012.0,65.0,25.0,18.0,Дніпровська,1 вересня 2020 р.
120000.0,1.0,2500.0,8.0,25.0,2012.0,48.0,18.0,16.0,Ділова,12 жовтня 2020 р.
57500.0,3.0,625.0,9.0,9.0,1970.0,92.0,,,Новодарницька,5 жовтня 2020 р.
98000.0,2.0,1633.0,21.0,34.0,2014.0,60.0,41.0,27.0,Ревуцького,24 січня
170000.0,3.0,1735.0,16.0,22.0,2018.0,98.0,48.0,35.0,Липківського,8 липня 2020 р.
320000.0,5.0,1963.0,23.0,25.0,2017.0,163.0,100.0,14.0,Бендукідзе,11 січня
65000.0,1.0,2600.0,1.0,3.0,,25.0,20.0,3.0,Введенська,30 листопада 2020 р.
125000.0,2.0,2778.0,6.0,9.0,1965.0,45.0,,,Виноградний,11 лютого
48000.0,1.0,849.0,22.0,25.0,,,40.0,10.0,Кайсарова,
70000.0,1.0,1273.0,26.0,27.0,2004.0,55.0,22.0,12.0,Ахматової,3 лютого
75000.0,3.0,1005.0,4.0,26.0,,,,,Радченка,
84000.0,2.0,1273.0,6.0,26.0,,66.0,,18.0,Дніпровська,
175000.0,1.0,1725.8,7.0,25.0,2012.0,,,,Ділова,21 січня
63000.0,3.0,900.0,7.0,10.0,1987.0,70.0,44.0,,Бориспільська,16 січня
390000.0,3.0,3000.0,11.0,28.0,2013.0,130.0,48.0,66.0,Болсуновська,12 березня 2018 р.
335000.0,3.0,3160.0,24.0,28.0,2017.0,106.0,55.0,24.0,Українки,20 лютого
320000.0,3.0,3137.0,15.0,24.0,2016.0,102.0,70.0,20.0,Антонова,19 червня 2020 р.
140000.0,2.0,2258.0,7.0,9.0,1969.0,62.0,47.0,9.0,Омеляновича-Павленка,3 вересня 2020 р.
105000.0,4.0,847.0,25.0,26.0,2018.0,124.0,71.0,16.0,,7 жовтня 2020 р.
175000.0,3.0,1786.0,25.0,26.0,2010.0,98.0,,,Ованеса Туманяна,1 жовтня 2020 р.
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,1 лютого
82000.0,2.0,1281.0,18.0,26.0,,64.0,,,Дніпровська,
168535.7,3.0,1872.6,4.0,9.0,1966.0,90.0,45.0,10.0,Саксаганського,28 жовтня 2020 р.
4500000.0,4.0,14610.0,18.0,21.0,2011.0,308.0,,,Івана Мазепи,19 жовтня 2020 р.
135000.0,2.0,2077.0,16.0,23.0,2012.0,65.0,25.0,18.0,Дніпровська,1 вересня 2020 р.
120000.0,1.0,2500.0,8.0,25.0,2012.0,48.0,18.0,16.0,Ділова,12 жовтня 2020 р.
57500.0,3.0,625.0,9.0,9.0,1970.0,92.0,,,Новодарницька,5 жовтня 2020 р.
98000.0,2.0,1633.0,21.0,34.0,2014.0,60.0,41.0,27.0,Ревуцького,24 січня
170000.0,3.0,1735.0,16.0,22.0,2018.0,98.0,48.0,35.0,Липківського,8 липня 2020 р.
320000.0,5.0,1963.0,23.0,25.0,2017.0,163.0,100.0,14.0,Бендукідзе,11 січня
65000.0,1.0,2600.0,1.0,3.0,,25.0,20.0,3.0,Введенська,30 листопада 2020 р.
125000.0,2.0,2778.0,6.0,9.0,1965.0,45.0,,,Виноградний,11 лютого
48000.0,1.0,849.0,22.0,25.0,,,40.0,10.0,Кайсарова,
70000.0,1.0,1273.0,26.0,27.0,2004.0,55.0,22.0,12.0,Ахматової,3 лютого
75000.0,3.0,1005.0,4.0,26.0,,,,,Радченка,
84000.0,2.0,1273.0,6.0,26.0,,66.0,,18.0,Дніпровська,
175000.0,1.0,1725.8,7.0,25.0,2012.0,,,,Ділова,21 січня
63000.0,3.0,900.0,7.0,10.0,1987.0,70.0,44.0,,Бориспільська,16 січня
390000.0,3.0,3000.0,11.0,28.0,2013.0,130.0,48.0,66.0,Болсуновська,12 березня 2018 р.
335000.0,3.0,3160.0,24.0,28.0,2017.0,106.0,55.0,24.0,Українки,20 лютого
320000.0,3.0,3137.0,15.0,24.0,2016.0,102.0,70.0,20.0,Антонова,19 червня 2020 р.
118000.0,2.0,1311.0,15.0,25.0,1959.0,90.0,41.0,13.0,Науки,18 травня 2020 р.
159990.0,4.0,1437.0,6.0,10.0,2016.0,,,30.0,Метрологічна,30 листопада 2020 р.
85000.0,3.0,1417.0,2.0,5.0,1961.0,60.0,44.0,6.0,Дружби Народів,23 вересня 2020 р.
155022.2,1.0,2541.3,,,,61.0,,,,
590000.0,3.0,5900.0,,,,100.0,,,Драгомирова,23 квітня 2020 р.
84000.0,2.0,1333.0,2.0,16.0,2016.0,63.0,32.0,15.0,Данченка,21 травня 2020 р.
35000.0,2.0,778.0,1.0,2.0,,45.0,,,Кримська,
63000.0,2.0,969.0,4.0,25.0,,65.0,31.0,13.0,Новопольова,
40000.0,2.0,870.0,3.0,5.0,1963.0,46.0,30.0,8.0,Туполєва,8 лютого
42654.8,1.0,1375.9,,,,31.0,,,,
60000.0,1.0,1463.0,2.0,26.0,,41.0,,,Дніпровська,
130000.0,2.0,1625.0,6.0,25.0,2010.0,80.0,,14.0,Перемоги,17 лютого
346500.0,2.0,4500.0,7.0,24.0,2019.0,77.0,38.0,20.0,Івана Федорова,7 липня 2020 р.
46998.0,2.0,1000.0,5.0,5.0,1968.0,47.0,35.0,8.0,Братиславська,27 листопада 2020 р.
10092.1,1.0,672.8,,,,15.0,,,,
29256.6,1.0,978.5,1.0,5.0,,,,,Червоноткацька,
166000.0,1.0,3532.0,2.0,9.0,,47.0,22.0,16.0,Златоустівська,
115000.0,4.0,1369.0,5.0,9.0,1970.0,84.0,35.0,9.0,Бойченка,15 лютого 2014 р.
298000.0,3.0,2249.0,11.0,23.0,2016.0,,,,Трускавецька,12 січня
43100.0,1.0,1390.0,8.0,26.0,2018.0,31.0,16.0,5.0,Каховська,24 листопада 2020 р.
179900.0,4.0,1475.0,19.0,27.0,2010.0,122.0,,,Лобановського,23 жовтня 2019 р.
96255.3,1.0,1504.0,,,,64.0,,,,
56500.0,3.0,926.0,6.0,9.0,1970.0,61.0,40.0,7.0,Курчатова,12 листопада 2020 р.
110000.0,1.0,1930.0,19.0,25.0,2008.0,57.0,,,Голосіївська,29 жовтня 2020 р.
47000.0,1.0,1146.0,5.0,16.0,1990.0,41.0,10.0,16.0,Тираспольська,28 січня
90000.0,2.0,2195.0,1.0,9.0,,41.0,28.0,6.0,Лаврська,17 лютого
44980.0,1.0,1249.0,19.0,25.0,2017.0,36.0,16.0,14.0,Правди,26 січня
58000.0,4.0,921.0,5.0,9.0,1968.0,63.0,40.0,7.0,Миколайчука,19 лютого
63000.0,3.0,863.0,5.0,9.0,1982.0,73.0,41.0,9.0,Порика,22 лютого
29256.6,1.0,978.5,1.0,5.0,,,,,Червоноткацька,
136000.0,1.0,3022.0,6.0,23.0,2015.0,45.0,15.0,17.0,Маккейна,8 листопада 2020 р.
73860.0,2.0,1319.0,5.0,9.0,,56.0,30.0,9.0,Йорданська,11 листопада 2020 р.
160000.0,2.0,2712.0,18.0,24.0,2019.0,59.0,,20.0,Тютюнника,17 серпня 2020 р.
135000.0,3.0,1588.0,8.0,10.0,2015.0,85.0,49.0,12.0,Регенераторна,2 лютого
120000.0,1.0,2400.0,12.0,23.0,2015.0,50.0,18.0,15.0,Зарічна,21 жовтня 2020 р.
58990.0,1.0,1450.0,3.0,34.0,,,16.0,10.0,Заболотного,
90000.0,4.0,1059.0,4.0,10.0,1994.0,85.0,,,Курнатовського,20 лютого
187000.0,3.0,,2.0,5.0,1934.0,,,,Інститутська,3 листопада 2016 р.
88000.0,2.0,1222.0,16.0,25.0,2020.0,72.0,,15.0,Маланюка,
102000.0,2.0,1619.0,10.0,16.0,2019.0,63.0,26.0,22.0,Гречка,
110000.0,1.0,1833.0,14.0,24.0,2018.0,60.0,21.0,15.0,Липківського,2 вересня 2020 р.
160000.0,2.0,3077.0,3.0,24.0,2015.0,52.0,13.0,18.0,Маккейна,11 серпня 2016 р.
225000.0,5.0,1500.0,23.0,24.0,2008.0,150.0,78.0,18.0,Григоренка,13 листопада 2020 р.
75000.0,2.0,1562.0,4.0,9.0,1966.0,48.0,30.0,7.0,Коновальця,29 січня
59860.0,3.0,798.0,3.0,9.0,,75.0,40.0,9.0,Закревського,24 лютого
43161.0,2.0,732.0,13.0,18.0,,59.0,30.0,16.0,,вчора о 11:40
140000.0,2.0,1842.0,13.0,18.0,1991.0,76.0,39.0,,Старонаводницька,10 лютого 2014 р.
78000.0,1.0,1418.0,7.0,26.0,,55.0,15.0,18.0,Маланюка,
230000.0,2.0,2771.0,6.0,7.0,1915.0,83.0,45.0,11.0,Заньковецької,20 липня 2020 р.
178000.0,2.0,2373.0,2.0,16.0,,75.0,,21.0,Кудрявська,
63000.0,3.0,900.0,23.0,23.0,,70.0,35.0,14.0,,
495000.0,3.0,4420.0,11.0,32.0,2017.0,112.0,45.0,54.0,Українки,23 січня 2020 р.
45900.0,2.0,478.0,31.0,34.0,,96.0,62.0,16.0,,
33000.0,1.0,1000.0,14.0,24.0,,33.0,16.0,5.0,Милославська,
66500.0,3.0,1147.0,3.0,5.0,1961.0,58.0,42.0,7.0,Донця,15 вересня 2020 р.
119900.0,3.0,1462.0,8.0,12.0,2002.0,82.0,48.0,14.0,Верховинця,2 вересня 2020 р.
145000.0,4.0,1381.0,1.0,9.0,1977.0,105.0,80.0,12.0,Героїв Дніпра,30 червня 2020 р.
118000.0,3.0,1494.0,17.0,25.0,2018.0,79.0,36.0,35.0,Каховська,26 серпня 2020 р.
41000.0,1.0,1323.0,21.0,26.0,2018.0,31.0,12.0,8.0,Каховська,5 лютого
59899.0,2.0,1070.0,8.0,10.0,1995.0,56.0,34.0,8.0,Вишняківська,15 травня 2020 р.
177000.0,2.0,2565.0,3.0,4.0,,69.0,41.0,8.0,Липська,
63000.0,1.0,1286.0,11.0,25.0,2019.0,49.0,16.0,16.0,Сверстюка,4 березня 2020 р.
499000.0,3.0,4229.0,,,,118.0,,,Драгомирова,21 вересня 2020 р.
49500.0,1.0,1269.0,19.0,26.0,,39.0,17.0,11.0,Причальна,
275000.0,2.0,4435.0,22.0,28.0,2013.0,62.0,30.0,20.0,Болсуновська,8 жовтня 2020 р.
93000.0,3.0,1336.0,13.0,14.0,1994.0,,48.0,,Повітрофлотський,12 жовтня 2020 р.
87500.0,2.0,1306.0,20.0,25.0,2015.0,67.0,37.0,14.0,Драгоманова,15 грудня 2020 р.
110000.0,3.0,1325.0,4.0,24.0,2008.0,83.0,,30.0,Григоренка,23 жовтня 2020 р.
900000.0,4.0,3600.0,23.0,24.0,2012.0,250.0,,,Дніпровська,10 вересня 2019 р.
86000.0,1.0,2205.0,3.0,8.0,2014.0,39.0,,,Жабаєва,1 липня 2020 р.
335000.0,3.0,2577.0,9.0,14.0,2014.0,130.0,60.0,60.0,Філатова,25 червня 2020 р.
67000.0,2.0,971.0,3.0,26.0,2021.0,69.0,25.0,21.0,Правди,
90000.0,2.0,1800.0,4.0,4.0,1896.0,50.0,,6.0,Малопідвальна,19 липня 2018 р.
101500.0,1.0,2307.0,8.0,11.0,,44.0,22.0,13.0,Бойчука,
104000.0,3.0,1169.0,18.0,26.0,,89.0,,40.0,Зарічна,
190000.0,2.0,3167.0,9.0,21.0,2017.0,60.0,,25.0,Предславинська,15 лютого
3600000.0,6.0,8000.0,25.0,25.0,2011.0,450.0,288.0,45.0,Івана Мазепи,28 лютого
63000.0,2.0,1033.0,10.0,26.0,,61.0,28.0,12.0,Радченка,
680000.0,7.0,2369.0,21.0,21.0,2010.0,287.0,177.0,,Лабораторний,6 вересня 2018 р.
139000.0,2.0,1829.0,20.0,21.0,2018.0,76.0,31.0,19.0,Конєва,12 серпня 2020 р.
347700.0,4.0,1900.0,4.0,25.0,2011.0,183.0,100.0,17.0,Шаповала,24 липня 2020 р.
85000.0,2.0,1328.0,4.0,24.0,,64.0,30.0,20.0,Дніпровська,
35600.0,1.0,989.0,10.0,26.0,,36.0,15.0,12.0,Клеманська,
85000.0,3.0,1133.0,9.0,15.0,1999.0,75.0,42.0,8.0,Григоренка,8 лютого
46000.0,1.0,1022.0,4.0,5.0,1963.0,45.0,,10.0,Туполєва,7 грудня 2020 р.
125000.0,2.0,2358.0,3.0,4.0,1860.0,53.0,42.0,5.0,Хмельницького,3 вересня 2015 р.
530000.0,3.0,3926.0,4.0,15.0,2017.0,135.0,50.0,40.0,Саперне Поле,25 червня 2020 р.
229000.0,3.0,2140.0,7.0,25.0,2007.0,107.0,50.0,,Героїв Сталінграда,2 березня 2016 р.
117000.0,3.0,1401.0,14.0,26.0,,,,,Дніпровська,
110000.0,2.0,2000.0,3.0,9.0,1971.0,55.0,,,Тарасівська,13 жовтня 2020 р.
92900.0,3.0,1021.0,4.0,5.0,1956.0,91.0,56.0,11.0,Краківська,23 липня 2020 р.
77500.0,1.0,1845.0,5.0,9.0,2018.0,42.0,17.0,15.0,Юнацька,21 січня 2020 р.
40500.0,1.0,1067.0,4.0,26.0,,,,,Клеманська,
136000.0,3.0,1462.0,2.0,16.0,1998.0,93.0,50.0,28.0,Героїв Сталінграда,12 січня
499000.0,3.0,4229.0,,,,118.0,,,Драгомирова,21 вересня 2020 р.
220000.0,2.0,2619.0,3.0,8.0,1948.0,84.0,52.0,13.0,,31 серпня 2020 р.
125000.0,3.0,1147.0,23.0,26.0,2011.0,109.0,83.0,16.0,Драгоманова,6 жовтня 2020 р.
100000.0,2.0,1818.0,,,1958.0,55.0,,,Українки,2 листопада 2020 р.
80000.0,1.0,2581.0,22.0,25.0,2018.0,31.0,14.0,14.0,Тимошенка,25 лютого
57000.0,3.0,851.0,5.0,9.0,1985.0,67.0,,,Маяковського,30 грудня 2020 р.
170000.0,2.0,1932.0,3.0,9.0,2005.0,88.0,44.0,22.0,Дмитрівська,10 червня 2020 р.
59750.0,2.0,996.0,14.0,15.0,1980.0,60.0,53.0,10.0,Курбаса,30 жовтня 2020 р.
42678.6,1.0,1094.3,16.0,16.0,,39.0,12.0,14.0,Комарова,
92000.0,2.0,1227.0,2.0,25.0,2015.0,75.0,38.0,15.0,Драгоманова,20 червня 2020 р.
115000.0,2.0,1597.0,4.0,32.0,2019.0,72.0,,14.0,Драгомирова,6 лютого
54000.0,1.0,1227.0,18.0,25.0,2019.0,44.0,,,Моторний,16 січня
45500.0,1.0,929.0,2.0,9.0,1995.0,49.0,14.0,24.0,Милославська,7 лютого
91500.0,1.0,2288.0,11.0,11.0,2020.0,40.0,20.0,12.0,Бойчука,
60500.0,3.0,818.0,4.0,9.0,1990.0,74.0,,,Закревського,2 червня 2020 р.
250000.0,1.0,4630.0,7.0,25.0,2019.0,54.0,15.0,20.0,Івана Федорова,20 червня 2020 р.
78000.0,2.0,1773.0,3.0,9.0,1966.0,44.0,,,Філатова,17 березня 2020 р.
130000.0,2.0,1625.0,6.0,25.0,2010.0,80.0,,14.0,Перемоги,17 лютого
84999.0,4.0,885.0,7.0,16.0,1986.0,96.0,,13.0,Миропільська,11 лютого 2014 р.
83000.0,3.0,856.0,1.0,22.0,2007.0,97.0,65.0,14.0,Григоренка,13 серпня 2020 р.
129999.0,2.0,2063.0,6.0,9.0,2018.0,63.0,30.0,15.0,Юнацька,22 лютого
70000.0,3.0,729.0,4.0,4.0,1946.0,96.0,,,Вишгородська,3 липня 2020 р.
36000.0,1.0,1200.0,5.0,9.0,,30.0,13.0,10.0,Жолудєва,
210000.0,3.0,1409.0,7.0,12.0,2001.0,149.0,87.0,16.0,Павлівська,8 вересня 2020 р.
85900.0,3.0,1263.0,6.0,8.0,1964.0,68.0,47.0,6.0,Голосіївський,1 вересня 2020 р.
108000.0,1.0,2160.0,2.0,25.0,2019.0,50.0,30.0,10.0,Осокорська,14 січня
120000.0,3.0,1395.0,10.0,24.0,,86.0,40.0,17.0,Вишгородська,
221000.0,2.0,3400.0,8.0,10.0,,65.0,,,Драгомирова,
60000.0,1.0,1818.0,5.0,5.0,1962.0,33.0,,16.0,Тютюнника,16 листопада 2020 р.
165000.0,2.0,2845.0,6.0,24.0,2015.0,58.0,25.0,22.0,Маккейна,13 серпня 2020 р.
200000.0,5.0,1481.0,4.0,4.0,1917.0,135.0,,,Івана Мазепи,21 березня 2020 р.
145000.0,2.0,1933.0,5.0,24.0,2007.0,75.0,44.0,14.0,Героїв Сталінграда,17 березня 2020 р.
199000.0,3.0,2488.0,2.0,25.0,2018.0,80.0,33.0,22.0,Липківського,18 грудня 2020 р.
186117.4,1.0,3579.2,,,,52.0,,,,
199000.0,2.0,2073.0,10.0,25.0,2005.0,96.0,43.0,16.0,Коновальця,2 вересня 2020 р.
50700.0,1.0,1300.0,6.0,14.0,2019.0,39.0,25.0,8.0,Максимовича,26 січня
185000.0,2.0,2256.0,5.0,21.0,2015.0,82.0,61.0,12.0,Зарічна,6 жовтня 2020 р.
152000.0,2.0,1667.0,24.0,25.0,2008.0,,41.0,,Голосіївська,22 серпня 2020 р.
92000.0,3.0,965.0,1.0,25.0,,,48.0,16.0,Ясинуватський,
49387.4,1.0,881.9,,,,56.0,,,,
56500.0,1.0,1749.0,5.0,7.0,2019.0,,21.0,5.0,Колоса,
80000.0,1.0,2105.0,11.0,21.0,2017.0,38.0,12.0,15.0,Правди,8 липня 2020 р.
480000.0,4.0,2609.0,5.0,6.0,1915.0,184.0,108.0,34.0,Велика Васильківська,14 лютого 2014 р.
59000.0,2.0,1157.0,2.0,12.0,1981.0,51.0,,,Голосіївський,25 січня
149632.1,1.0,3183.6,,,,47.0,,,,
147075.0,2.0,2228.0,9.0,11.0,,66.0,,,Бойчука,
86860.0,2.0,905.0,10.0,10.0,2017.0,96.0,44.0,23.0,Центральна,20 листопада 2020 р.
97000.0,2.0,1260.0,16.0,22.0,2018.0,77.0,,,Ясинуватський,30 червня 2020 р.
55000.0,2.0,1222.0,13.0,16.0,1980.0,45.0,,11.0,Райдужна,сьогодні о 08:45
138000.0,2.0,1811.0,3.0,15.0,2014.0,,,,Ломоносова,11 січня
105000.0,2.0,1504.0,4.0,25.0,2014.0,,,,,8 квітня 2019 р.
66016.1,1.0,1784.2,,,,37.0,,,,
284000.0,2.0,2812.0,7.0,11.0,2004.0,101.0,,,Гусовського,25 вересня 2018 р.
155000.0,3.0,1550.0,13.0,23.0,2006.0,100.0,,,Окіпної,24 листопада 2020 р.
49899.0,1.0,1386.0,1.0,9.0,1978.0,36.0,18.0,7.0,Багговутівська,10 січня
95000.0,2.0,1696.0,9.0,9.0,1966.0,56.0,34.0,8.0,Дружби Народів,19 листопада 2020 р.
380000.0,3.0,3585.0,9.0,21.0,2019.0,106.0,,,Маккейна,7 липня 2020 р.
46000.0,2.0,913.0,1.0,4.0,,,30.0,12.0,Маланюка,
60150.0,1.0,1504.0,21.0,26.0,,40.0,14.0,20.0,Михайла Котельникова,
185000.0,3.0,1745.0,8.0,25.0,2016.0,106.0,,38.0,Героїв Севастополя,6 листопада 2020 р.
81000.0,2.0,964.0,18.0,26.0,2020.0,84.0,37.0,17.0,Маланюка,
620000.0,3.0,4769.0,4.0,15.0,2017.0,130.0,66.0,16.0,Саперне Поле,24 січня 2020 р.
48700.0,1.0,991.0,19.0,25.0,,,,,Балтійський,
234000.0,3.0,2000.0,7.0,15.0,,117.0,76.0,12.0,Кудрявська,
135000.0,2.0,2523.0,28.0,34.0,2018.0,,,,Перемоги,19 листопада 2020 р.
130000.0,2.0,2600.0,1.0,5.0,1964.0,50.0,,12.0,Німанська,11 лютого 2020 р.
54100.0,1.0,1339.0,4.0,26.0,2018.0,,,,Каховська,15 грудня 2020 р.
239000.0,3.0,3025.0,3.0,7.0,1954.0,79.0,44.0,13.0,Малопідвальна,23 серпня 2019 р.
140000.0,2.0,2188.0,10.0,14.0,,64.0,34.0,15.0,Невська,
128000.0,2.0,2612.0,5.0,14.0,2015.0,49.0,14.0,17.0,Златоустівська,13 липня 2020 р.
31000.0,1.0,1107.0,9.0,9.0,1986.0,28.0,13.0,6.0,,25 грудня 2020 р.
41187.0,1.0,936.0,3.0,13.0,,44.0,19.0,11.0,Берковецька,
120000.0,3.0,1188.0,11.0,16.0,1998.0,101.0,,14.0,Бажана,19 серпня 2020 р.
740000.0,1.0,2772.0,20.0,24.0,2019.0,267.0,150.0,75.0,Антоновича,25 листопада 2020 р.
180000.0,3.0,2400.0,3.0,8.0,1990.0,75.0,41.0,9.0,,9 лютого
63000.0,3.0,900.0,1.0,9.0,1973.0,70.0,41.0,8.0,Гречка,26 серпня 2020 р.
126000.0,2.0,1658.0,15.0,32.0,2020.0,76.0,41.0,14.0,Микільсько-Слобідська,26 червня 2020 р.
80000.0,2.0,1067.0,6.0,26.0,,75.0,27.0,21.0,Правди,
98000.0,1.0,1750.0,,,2018.0,56.0,22.0,19.0,Тимошенка,11 лютого
150000.0,2.0,1807.0,16.0,23.0,2003.0,83.0,,,Павла Тичини,27 січня
100000.0,3.0,1000.0,8.0,17.0,2003.0,100.0,64.0,14.0,Олевська,25 вересня 2020 р.
120000.0,3.0,1237.0,2.0,21.0,2016.0,97.0,52.0,20.0,Освіти,17 листопада 2020 р.
41000.0,1.0,1464.0,9.0,9.0,1969.0,28.0,17.0,5.0,Іллєнка,29 січня
135000.0,1.0,1552.0,15.0,22.0,2012.0,87.0,15.0,40.0,Дніпровська,16 липня 2020 р.
155000.0,3.0,1742.0,4.0,4.0,1917.0,89.0,,13.0,Івана Мазепи,20 січня
90000.0,3.0,1286.0,5.0,16.0,1974.0,70.0,46.0,7.0,Українки,20 січня
132000.0,2.0,1347.0,1.0,6.0,2016.0,98.0,32.0,18.0,Данченка,12 червня 2020 р.
230000.0,,4600.0,,,,50.0,,,Драгомирова,7 червня 2019 р.
185000.0,3.0,2011.0,18.0,25.0,2017.0,92.0,,,Тбіліський,21 березня 2020 р.
70500.0,2.0,1203.0,20.0,26.0,2020.0,,28.0,,Каховська,28 січня
87000.0,3.0,915.0,9.0,19.0,2019.0,,52.0,,Ушинського,15 серпня 2020 р.
185000.0,3.0,1637.0,8.0,24.0,2007.0,113.0,,,Урлівська,6 жовтня 2020 р.
49860.0,2.0,997.0,2.0,9.0,1974.0,50.0,30.0,6.0,Світлицького,14 липня 2020 р.
100000.0,2.0,1408.0,15.0,23.0,2007.0,71.0,30.0,12.0,Дніпровська,16 червня 2020 р.
90000.0,1.0,1800.0,3.0,25.0,,50.0,25.0,,Липківського,
152000.0,2.0,1949.0,14.0,30.0,2020.0,78.0,37.0,12.0,Микільсько-Слобідська,17 вересня 2020 р.
159900.0,3.0,1259.0,15.0,25.0,2007.0,127.0,77.0,,Лобановського,25 лютого
280000.0,3.0,2137.0,8.0,9.0,2005.0,131.0,75.0,25.0,Героїв Сталінграда,21 березня 2020 р.
85000.0,1.0,1545.0,6.0,25.0,2007.0,55.0,24.0,13.0,Дніпровська,9 січня
67000.0,2.0,1098.0,13.0,15.0,1994.0,61.0,31.0,9.0,Драгоманова,15 грудня 2020 р.
59000.0,1.0,1224.0,16.0,25.0,2010.0,,,,Ахматової,22 вересня 2020 р.
