street,type,district
Залізнична 3,вулиця,Дніпровський
Залізнична 4,вулиця,Дніпровський
Залізничне,шосе,Печерський
Залізняка Максима,вулиця,Святошинський
Залісна,вулиця,Солом'янський
Заломова Петра,вулиця,Солом'янський
Залужна ,вулиця,Голосіївський
Залужний ,провулок,Голосіївський
Заміський,провулок,Дарницький
Замковецька,вулиця,Подільський
Замковецький,провулок,Подільський
Заньковецької,вулиця,Печерський
Заозерний,провулок,Деснянський
Западинська,вулиця,Подільський
Запашний,провулок,Дарницький
Запечерний,провулок,Печерський
Заплавна,вулиця,Дарницький
Заплавний,провулок,Дарницький
Заповітна,вулиця,Солом'янський
Заповітний,провулок,Солом'янський
Запорізька,вулиця,Солом'янський
Запорожця Петра,вулиця,Дніпровський
Запорожця Петра,вулиця,Деснянський
Заремби Владислава,провулок,Голосіївський
Зарічна,вулиця,Дарницький
Зарубинецька,вулиця,Подільський
Заслонова Костянтина,вулиця,Дарницький
Затєвахіна Полковника,вулиця,Голосіївський
Затишна,вулиця,Дарницький
Захарівська,вулиця,Подільський
Захисників,провулок,Деснянський
Західна,вулиця,Солом'янський
Західний,провулок,Солом'янський
Звенигородська,вулиця,Святошинський
Звіринецька,вулиця,Печерський
Звіринецький,провулок,Печерський
Зв'язківців,вулиця,Святошинський
Згурівська,вулиця,Солом'янський
Здолбунівська,вулиця,Дарницький
Зелена,вулиця,Солом'янський
Зелена,вулиця,Дніпровський
Зелена,вулиця,Шевченківський
Зеленогірська,вулиця,Солом'янський
Зелінського Академіка,провулок,Подільський
Землянична,вулиця,Подільський
Землянська,вулиця,Печерський
Землянський,провулок,Печерський
Зенітна,вулиця,Солом'янський
Зимова,вулиця,Подільський
Златопільська,вулиця,Солом'янський
Знам'янська,вулиця,Солом'янський
Зовнішня,вулиця,Дарницький
Зодчих,вулиця,Святошинський
Золота,вулиця,Дніпровський
Золоті Джерела,вулиця,Голосіївський
Золотоворітська,вулиця,Шевченківський
Золотоворітський,проїзд,Шевченківський
Золотоніська,вулиця,Голосіївський
Золотоустівська,вулиця,Шевченківський
Золочевська,вулиця,Подільський
Золочевський,провулок,Подільський
Зоологічна,вулиця,Шевченківський
Зоотехніків,вулиця,Дарницький
Зорге Ріхарда,вулиця,Святошинський
Зоряна,вулиця,Подільський
Зоряна,вулиця,Солом'янський
Зоряний,провулок,Подільський
Зрошувальна,вулиця,Дарницький
Івана Білика,вулиця,Солом'янський
Івана Виговського,вулиця,Подільський
Івана Рогача,вулиця,Деснянський
Івашкевича Ярослава,вулиця,Оболонський
Івченка Михайла,провулок,Святошинський
Ігорівська,вулиця,Подільський
Ігоря Диченка,вулиця,Голосіївський
Їжакевича Івана,вулиця,Подільський
Іжевська,вулиця,Дарницький
Іжевський,провулок,Дарницький
Ізюмська,вулиця,Голосіївський
Ізяславський,провулок,Солом'янський
Іллінська,вулиця,Подільський
Інгульський,провулок,Голосіївський
Індустріальний,провулок,Солом'янський
Інженера Бородіна,вулиця,Дніпровський
Інженерна,вулиця,Голосіївський
Інженерна,вулиця,Дарницький
Інженерний,провулок,Печерський
Інженерний,провулок,Дарницький
Інститутська,вулиця,Печерський
Іоанна Павла ІІ,вулиця,Печерський
Іпсилантіївський,провулок,Печерський
Ірининська,вулиця,Шевченківський
Ірпінська,вулиця,Святошинський
Іртишська,вулиця,Голосіївський
Ірчана Мирослава,вулиця,Святошинський
Ісаакяна,вулиця,Шевченківський
Іси Мунаєва,вулиця,Деснянський
Іскрівська,вулиця,Солом'янський
Йова Борецького,провулок,Печерський
Йорданська,вулиця,Оболонський
Кабельна ,вулиця,Оболонський
Каблукова Академіка,вулиця,Солом'янський
Кавалерідзе Івана,вулиця,Подільський
Кавказька,вулиця,Солом'янський
Кадетський Гай ,вулиця,Солом'янський
Кадіївська,вулиця,Деснянський
Кадіївський,провулок,Деснянський
Казанська,вулиця,Оболонський
Кайсарова,вулиця,"Голосіївський,Солом'янський"
Калачівська,вулиця,Дніпровський
Калинова,вулиця,Шевченківський
Калиновий Ріг,проїзд,Оболонський
Калиновий Ріг,вулиця,Оболонський
Калнишевського Петра,вулиця,Оболонський
Кальвільна,вулиця,Подільський
Каменярів,вулиця,Солом'янський
Каменярів,провулок,Солом'янський
Камишинська,вулиця,Голосіївський
Кам'янець-Подільська,вулиця,Святошинський
Кам'янець-Подільський,провулок,Святошинський
Кам'янська,вулиця,Дарницький
Канальна,вулиця,Дарницький
Канальна 1,вулиця,Дніпровський
Канальна 10,вулиця,Дніпровський
Канальна 11,вулиця,Дніпровський
Канальна 12,вулиця,Дніпровський
Канальна 2,вулиця,Дніпровський
Канальна 3,вулиця,Дніпровський
Канальна 4,вулиця,Дніпровський
Канальна 5,вулиця,Дніпровський
Канальна 6,вулиця,Дніпровський
Канальна 7,вулиця,Дніпровський
Канальна 8,вулиця,Дніпровський
Канальна 9,вулиця,Дніпровський
Канівська,вулиця,Подільський
Кантемирівський,провулок,Деснянський
Караваєва Професора,вулиця,Солом'янський
Карбишева Генерала,вулиця,Дніпровський
Карелівська,вулиця,Подільський
Карельський,провулок,"Деснянський, Дніпровський"
Кар'єрна,вулиця,Солом'янський
Кармелюка Устима,вулиця,Дніпровський
Кармелюка Устима,провулок,Дніпровський
Карпатська,вулиця,Солом'янський
Карпінського Академіка,вулиця,Солом'янський
Касіяна Василя,вулиця,Голосіївський
Каунаська,вулиця,Дніпровський
Кахи Бендукідзе,вулиця,Печерський
Каховська,вулиця,Дніпровський
Качалова,вулиця,"Солом'янський, Святошинський"
Качури Якова,провулок,Святошинський
Качури Якова,вулиця,Святошинський
Качуровського Ігоря,провулок,Дарницький
Каштанова,вулиця,Деснянський
Кащенка Академіка,вулиця,Голосіївський
Квітки Цісик,вулиця,Оболонський
Квітки-Основ'яненка,вулиця,Голосіївський
Квітки-Основ'яненка,провулок,Голосіївський
Квіткова,вулиця,Оболонський
Квіткова,вулиця,Дніпровський
Квіткові Луки,вулиця,Голосіївський
Квітнева,вулиця,Голосіївський
Квітнева,вулиця,Дарницький
Квітневий,провулок,Подільський
Квітникарська,вулиця,Подільський
Квітуча,вулиця,Голосіївський
Квітучий,провулок,Шевченківський
Кемеровська,вулиця,Оболонський
Керамічний,провулок,Голосіївський
Керченська,вулиця,Солом'янський
Керченська,площа,"Деснянський, Дніпровський"
Кибальчича Миколи,вулиця,Дніпровський
Кизилова,вулиця,Дарницький
Кизилова,вулиця,Подільський
Київська,вулиця,Солом'янський
Кирила Гвоздика,вулиця,"Голосіївський, Солом’янський"
Кирила Осьмака,вулиця,Дарницький
Кирилівська,вулиця,"Подільський, Оболонський, Шевченківський"
Кирило-Мефодіївська,вулиця,Шевченківський
Кирпоноса,вулиця,Шевченківський
Кисловодська,вулиця,Деснянський
Кисловодський,провулок,Деснянський
Китаївська,вулиця,Голосіївський
Кишинівська,вулиця,Солом'янський
Киянівський,провулок,Шевченківський
Кільцева ,дорога,"Святошинський, Солом'янський, Голосіївський"
Кільцевий,провулок,Голосіївський
Кінцева,вулиця,Солом'янський
Кіото,вулиця,Деснянський
Кіпріанова Академіка,вулиця,Святошинський
Кіровоградський,провулок,Голосіївський
Кірпи Георгія,вулиця,Солом'янський
Клавдіївська,вулиця,Святошинський
Клеманська,вулиця,Дарницький
Клена Юрія,вулиця,Святошинський
Кленова Долина,вулиця,Голосіївський
Кленовий,провулок,Печерський
Кленовий,провулок,Деснянський
Клінічна,вулиця,Солом'янський
Клінічний,провулок,Солом'янський
Кловський,узвіз,Печерський
Кмитів Яр,вулиця,Шевченківський
Княжий Затон,вулиця,Дарницький
Князя Вітовта,вулиця,Голосіївський
Кобзарська,вулиця,Подільський
Кобзарський,провулок,Подільський
Кобилянської Ольги,вулиця,Солом'янський
Кобилянської Ольги,провулок,Солом'янський
Ковалевської Софії,вулиця,Голосіївський
Ковальський,провулок,Солом'янський
Ковельська,вулиця,Голосіївський
Ковніра Степана,вулиця,Печерський
Ковпака,вулиця,"Голосіївський, Печерський"
Ковпитська,вулиця,Деснянський
Ковтунівський,провулок,Деснянський
Кожум'яцька,вулиця,Подільський
Козацька,вулиця,Голосіївський
Козацький,провулок,Голосіївський
Козелецька,вулиця,Солом'янський
Козицького Пилипа,вулиця,Солом'янський
Козловського Івана,провулок,Печерський
Козятинська,вулиця,Печерський
Козятинський,провулок,Печерський
Колекторна,вулиця,Дарницький
Колекторний,провулок,Дарницький
Коломийський,провулок,Голосіївський
Колоса Сергія,вулиця,"Солом'янський, Голосіївський"
Колоскова,вулиця,Солом'янський
Кольцова,бульвар,Святошинський
Комбайнерів,вулиця,Солом'янський
Комбінатна,вулиця,Дніпровський
Комунальна,вулиця,Голосіївський
Кондратюка Юрія,вулиця,Оболонський
Кондукторська,вулиця,Солом'янський
Конєва Маршала,вулиця,Голосіївський
Коноплянська,вулиця,Оболонський
Конотопська,вулиця,Голосіївський
Конотопський,провулок,Голосіївський
Конституції,площа,Печерський
Контактна,вулиця,Солом'янський
Контрактова,площа,Подільський
Кооперативна,вулиця,Солом'янський
Копайгородська,вулиця,Подільський
Коперніка,вулиця,Шевченківський
Копиленка Олександра,вулиця,Печерський
Копилівська,вулиця,Подільський
Корабельна,вулиця,Оболонський
Корінна,вулиця,Голосіївський
Короленківська,вулиця,Голосіївський
Корольова Академіка,вулиця,Святошинський
Корольова Академіка,проспект,Святошинський
Коростенська,вулиця,Святошинський
Корсунська,вулиця,Святошинський
Корсунь-Шевченківська,вулиця,Солом'янський
Корчуватська,вулиця,Голосіївський
Корчуватський,провулок,Голосіївський
Косенка,вулиця,Подільський
Космічна,вулиця,Дніпровський
Космодем'янської Зої,вулиця,Солом'янський
Космонавтів,площа,Солом'янський
Косогірний,провулок,Шевченківський
Костанайська,вулиця,Голосіївський
Костанайський,провулок,Голосіївський
Костельна,вулиця,Шевченківський
Костичева Академіка,вулиця,Голосіївський
Костюка,вулиця,Святошинський
Костя Гордієнка,провулок,Печерський
Костя Гуслистого,провулок,Голосіївський
Костянтина Михальчука,провулок,Солом'янський
Костянтинівська,вулиця,Подільський
Котарбінського Вільгельма,вулиця,Шевченківський
Котельникова Михайла,вулиця,Святошинський
Котика Валі,вулиця,Святошинський
Котляревського,вулиця,Солом'янський
Коцюбинського,вулиця,Дарницький
Коцюбинського,вулиця,Деснянський
Коцюбинського Михайла,вулиця,Шевченківський
Кочерги Івана,вулиця,Дарницький
Кочерги Івана,провулок,Дарницький
Кочубеївська,вулиця,Голосіївський
Кочубеївський,провулок,Голосіївський
Кошиця Олександра,вулиця,Дарницький
Кошового Олега,вулиця,Голосіївський
Кошового Олега,провулок,Голосіївський
Кравчука Михайла,вулиця,Дарницький
Краєвидний,провулок,Деснянський
Крайній,провулок,Деснянський
Крайня,вулиця,Деснянський
Краківська,вулиця,Дніпровський
Краматорська,вулиця,Голосіївський
Краматорський,провулок,Голосіївський
Крамського Івана,вулиця,Святошинський
Красилівська,вулиця,Голосіївський
Красицького,вулиця,Подільський
Краснова Миколи,вулиця,Святошинський
Красноводський,провулок,Подільський
Краснодарська,вулиця,Шевченківський
Краснокутська,вулиця,Дніпровський
Краснокутський,провулок,Дніпровський
Кременецький,провулок,Святошинський
Кржижановського Академіка,вулиця,Святошинський
Кривоноса Максима,вулиця,Солом'янський
Кривоноса Максима,провулок,Солом'янський
Кривоноса Петра,площа,Солом'янський
Криворізька,вулиця,Голосіївський
Крилова,вулиця,Дарницький
Крилова 1,провулок,Дарницький
Крилова 2,провулок,Дарницький
Крилова 3,провулок,Дарницький
Криловський,провулок,Шевченківський
Кримська,вулиця,Голосіївський
Кримського Академіка,вулиця,Святошинський
Кринична,вулиця,Солом'янський
Кринична,вулиця,Дарницький
Кричевського Федора,вулиця,Святошинський
Кріпосний,провулок,Печерський
Кронштадтська,вулиця,Дарницький
Кропивницького,вулиця,Печерський
Кругла,вулиця,Солом'янський
Круглоуніверситетська,вулиця,Печерський
Крута,вулиця,Голосіївський
Крута,вулиця,Дарницький
Крутий,узвіз,Печерський
Крутогірна,вулиця,Солом'янський
Крушельницького,вулиця,Святошинський
Крушельницької Соломії,вулиця,Дарницький
Кубанська,вулиця,Солом'янський
Кубанської України,вулиця,Деснянський
Кудрявська,вулиця,Шевченківський
Кудрявський,узвіз,Шевченківський
Кудряшова,вулиця,Солом'янський
Кудряшова,провулок,Солом'янський
Кузбаська,вулиця,Деснянський
Кузбаський,провулок,Деснянський
Кузнєцова Миколи,вулиця,Святошинський
Кузьминський,провулок,Шевченківський
Кука Василя,провулок,Дарницький
Кукурудзяна,вулиця,Подільський
Кукурудзяний,проїзд,Подільський
Кулібіна,вулиця,Святошинський
Кулібіна,провулок,Святошинський
Куліша Пантелеймона,площа,Дніпровський
Купріна,вулиця,Святошинський
Куп'янська,вулиця,Солом'янський
Куп'янський,провулок,Солом'янський
Курбаса Леся,проспект,Святошинський
Курганівська,вулиця,Печерський
Курганівський,провулок,Печерський
Куренівська,вулиця,Оболонський
Куренівський,провулок,Оболонський
Куричівська,вулиця,Деснянський
Курінного Петра,вулиця,Святошинський
Курнатовського,вулиця,"Дніпровський, Деснянський"
Курортна,вулиця,Оболонський
Курчатова Академіка,вулиця,Деснянський
Кутова,вулиця,Солом'янський
Кутова,вулиця,Шевченківський
Кутовий ,провулок,Деснянський
Кутузова,вулиця,Деснянський
Кучанський,провулок,Деснянський
Кучера Василя,вулиця,Святошинський
Кучмин Яр,вулиця,Солом'янський
Кучмин Яр,провулок,Солом'янський
Лабораторна,вулиця,"Голосіївський, Печерський"
Лабораторний,провулок,Печерський
Лаврова Юрія,вулиця,Голосіївський
Лаврська,вулиця,Печерський
Лаврський,провулок,Печерський
Лаврухіна Миколи,вулиця,Деснянський
Лазурна,вулиця,Голосіївський
Лазурна,вулиця,Деснянський
Лазурний,провулок,Деснянський
Лауреатська ,вулиця,Голосіївський
Лебедєва Академіка,вулиця,Голосіївський
Лебединська,вулиця,Оболонський
Левадна ,вулиця,Дарницький
Левадний ,провулок,Дарницький
Левадний 1,провулок,Дарницький
Левадний 2,провулок,Дарницький
Левандовська,вулиця,Печерський
Леваневського ,вулиця,Солом'янський
Левітана,вулиця,Голосіївський
Левітана ,провулок,Голосіївський
Левка Мацієвича,вулиця,Солом'янський
Лейпцизька,вулиця,Печерський
Леоніда Телятникова,площа,Оболонський
Леонтовича,вулиця,Шевченківський
Лермонтова,провулок,Дарницький
Лермонтова ,вулиця,Деснянський
Лермонтова ,вулиця,Дарницький
Лермонтова 1,провулок,Дарницький
Лермонтова 2,провулок,Дарницький
Лермонтова 3,провулок,Дарницький
Лермонтова 4,провулок,Дарницький
Лермонтова 5,провулок,Дарницький
Лермонтовська,вулиця,Шевченківський
Лесі Українки,бульвар,Печерський
Лесі Українки,площа,Печерський
Лесі Українки,вулиця,Подільський
Лесі Українки,вулиця,Деснянський
Леся Танюка,вулиця,Деснянський
Лєскова,вулиця,Печерський
Либідська,вулиця,Голосіївський
Либідська,площа,Голосіївський
Ливарська,вулиця,Оболонський
Липківського Василя Митрополита,вулиця,Солом'янський
Липнева,вулиця,Голосіївський
Липова,вулиця,Святошинський
Липова,вулиця,Деснянський
Липова,вулиця,Дарницький
Липська ,вулиця,Печерський
Липський,провулок,Печерський
Лисенка,вулиця,Шевченківський
Лисичанська,вулиця,Солом'янський
Лисичанський,провулок,Солом'янський
Лисогірська ,вулиця,Голосіївський
Лисогірський,провулок,Голосіївський
Листопадна,вулиця,Голосіївський
Листопадний,провулок,Голосіївський
Лисянська,вулиця,Подільський
Литвиненко-Вольгемут,вулиця,Святошинський
Литовський,провулок,Голосіївський
Личанська,вулиця,Святошинський
Лікарняна,вулиця,Дніпровський
Лікарняний,провулок,Дніпровський
Лінійна,вулиця,Солом'янський
Лінія 1,вулиця,Оболонський
Лінія 1,лінія,Оболонський
Лінія 1,лінія,Подільський
Лінія 1,лінія,Дніпровський
Лінія 1,лінія,Оболонський
Лінія 1,лінія,Подільський
Лінія 1,лінія,Оболонський
Лінія 10,вулиця,Оболонський
Лінія 10,лінія,Оболонський
Лінія 10,лінія,Подільський
Лінія 11,лінія,Подільський
Лінія 11,лінія,Оболонський
Лінія 11,вулиця,Оболонський
Лінія 11,лінія,Оболонський
Лінія 12,лінія,Оболонський
Лінія 12,вулиця,Оболонський
Лінія 12-та,лінія,Подільський
Лінія 13,вулиця,Оболонський
Лінія 13,лінія,Оболонський
Лінія 13-та,лінія,Подільський
Лінія 14,вулиця,Оболонський
Лінія 14,лінія,Оболонський
Лінія 14-та,лінія,Подільський
Лінія 15,лінія,"Оболонський (КДТ ""Чорнобилець"")"
Лінія 15-та,лінія,Подільський
Лінія 16,лінія,"Оболонський (КДТ ""Чорнобилець"")"
Лінія 17,лінія,"Оболонський (КДТ ""Чорнобилець"")"
Лінія 18,лінія,Оболонський
Лінія 1а,лінія,Оболонський
Лінія 2,лінія,Оболонський
Лінія 2,вулиця,Оболонський
Лінія 2,лінія,Оболонський
Лінія 2,лінія,Подільський
Лінія 2,лінія,Подільський
Лінія 2,лінія,Дніпровський
Лінія 2,лінія,Оболонський
Лінія 3,лінія,Оболонський
Лінія 3,лінія,Подільський
Лінія 3,лінія,Оболонський
Лінія 3,лінія,Дніпровський
Лінія 3,лінія,Подільський
Лінія 3,лінія,Оболонський
Лінія 3,вулиця,Оболонський
Лінія 3,лінія,Дніпровський
Лінія 4,лінія,Дніпровський
Лінія 4,лінія,Оболонський
Лінія 4,вулиця,Оболонський
Лінія 4,лінія,Подільський
Лінія 4,лінія,Подільський
Лінія 4,лінія,Оболонський
Лінія 4,лінія,"Оболонський (СТ ""Оболонь"")"
Лінія 5,лінія,Оболонський
Лінія 5,вулиця,Оболонський
Лінія 5,лінія,Подільський
Лінія 5,лінія,Подільський
Лінія 5,лінія,Дніпровський
Лінія 5,лінія,Оболонський
Лінія 5,лінія,Оболонський
Лінія 6,лінія,Подільський
Лінія 6,лінія,Оболонський
Лінія 6,лінія,Оболонський
Лінія 6,вулиця,Оболонський
Лінія 7,лінія,Оболонський
Лінія 7,лінія,Оболонський
Лінія 7,лінія,Оболонський
Лінія 7,лінія,Подільський
Лінія 7,вулиця,Оболонський
Лінія 8,вулиця,Оболонський
Лінія 8,лінія,Оболонський
Лінія 8,лінія,Оболонський
Лінія 8,лінія,Оболонський
Лінія 8,лінія,Подільський
Лінія 9,вулиця,Оболонський
Лінія 9,лінія,Подільський
Лінія 9,лінія,"Оболонський (СТ ""Дніпровський-2"", СТ ""Фронтовик"")"
Лінія 9,лінія,Оболонський
Лінія 9,лінія,Оболонський
Лісківська,вулиця,Деснянський
Лісна,вулиця,Дарницький
Лісна,вулиця,Оболонський
Лісний,провулок,Оболонський
Ліснича,вулиця,Голосіївський
Лісова,вулиця,Оболонський
Лісова-Козинська,вулиця,Голосіївський
Лісовий,проспект,Деснянський
Лісовий,провулок,Дарницький
Лісоводна,вулиця,Голосіївський
Лісозахисна,вулиця,Подільський
Лісозахисний,провулок,Подільський
Лісорубна,вулиця,Святошинський
Лісо-Степова,вулиця,Дарницький
Лісо-Степовий 1,провулок,Дарницький
Лісо-Степовий 2,провулок,Дарницький
Лісо-Степовий 3,провулок,Дарницький
Лісо-Степовий 4,провулок,Дарницький
Лісо-Степовий 5,провулок,"Дарницький (СДТ ""Стадне"")"
Літинська,вулиця,Дніпровський
Літинський ,провулок,Дніпровський
Літківська,вулиця,Деснянський
Літня,вулиця,Печерський
Лобановського Валерія,проспект,"Солом'янський,Голосіївський"
Лобачевського,вулиця,Дніпровський
Лобачевського,провулок,Дніпровський
Лодигіна,провулок,Подільський
Лодигіна,вулиця,Подільський
Лозовий,провулок,Деснянський
Лозовий,провулок,Дарницький
Локомотивна,вулиця,Солом'янський
Ломоносова,вулиця,Голосіївський
Лохвицька,вулиця,Дніпровський
Лубенська,вулиця,Печерський
Луганська,вулиця,Солом'янський
Лугова,вулиця,Оболонський
Лугова,вулиця,Солом'янський
Лугова,вулиця,Дніпровський
Лугова,вулиця,Дарницький
Лугова,вулиця,Оболонський
Лугова 1,вулиця,Дарницький
Лугова 10,вулиця,Дарницький
Лугова 11,вулиця,Дарницький
Лугова 12,вулиця,Дарницький
Лугова 13,вулиця,Дарницький
Лугова 14,вулиця,Дарницький
Лугова 2,вулиця,Дарницький
Лугова 3,вулиця,Дарницький
Лугова 4,вулиця,Дарницький
Лугова 5,вулиця,Дарницький
Лугова 6,вулиця,Дарницький
Лугова 7,вулиця,Дарницький
Лугова 8,вулиця,Дарницький
Лугова 9,вулиця,Дарницький
Луговий,провулок,Деснянський
Луговий,провулок,Дарницький
Лужевського Руслана,провулок,Голосіївський
Лукаша Миколи,вулиця,Солом'янський
Луківська,вулиця,Оболонський
Луківський,проїзд,Оболонський
Луківський,провулок,Оболонський
Лук'янівська,вулиця,Шевченківський
Лук'янівська,площа,Шевченківський
Лук'янівський,провулок,Шевченківський
Луценка Дмитра,вулиця,Голосіївський
Львівська,площа,Шевченківський
Львівська,вулиця,Святошинський
Любарська,вулиця,Дарницький
Любарський,провулок,Дарницький
Любимівська,вулиця,Святошинський
Любимівська ,вулиця,Оболонський
Любомира Гузара,проспект,Солом'янський
Любомирська,вулиця,Голосіївський
Люботинська,вулиця,Дніпровський
Люботинський,провулок,Дніпровський
Лютеранська,вулиця,Печерський
Лютнева,вулиця,Дарницький
Лютнева,вулиця,Голосіївський
Лютневий,провулок,Подільський
Лятошинського Композитора,вулиця,Голосіївський
Магістральна,вулиця,Шевченківський
Магнітогорська,вулиця,Деснянський
Магнітогорський,провулок,Деснянський
Мазепи Івана,вулиця,Печерський
Майбороди Платона,вулиця,Шевченківський
Майкопська,вулиця,Голосіївський
Майкопський,провулок,Голосіївський
Макаренка,провулок,Дніпровський
Макаренка,вулиця,Дніпровський
Макаренка,вулиця,Деснянський
Макарівська,вулиця,Шевченківський
Макіївська,вулиця,Оболонський
Макіївський,провулок,Оболонський
Максима Славинського,вулиця,Голосіївський
Максименка Федора,вулиця,Оболонський
Максимовича,вулиця,Святошинський
Максимовича Михайла,вулиця,Голосіївський
Мала Житомирська,вулиця,Шевченківський
Маланюка Євгена,вулиця,Дніпровський
Малевича Казимира,вулиця,Голосіївський
Малинівська ,вулиця,Дніпровський
Малинова,вулиця,Дарницький
Малинова,вулиця,Солом'янський
Малинова,вулиця,Подільський
Малиновського Маршала,вулиця,Оболонський
Малинська,вулиця,Святошинський
Малинський,провулок,Святошинський
Малишка Андрія,вулиця,Дніпровський
Малоземельна,вулиця,Дарницький
Малокитаївська,вулиця,Голосіївський
Малокитаївський,провулок,Голосіївський
Маломарганецький,провулок,Дніпровський
Малопідвальна,вулиця,Шевченківський
Малосадова ,вулиця,Святошинський
Мальовнича,вулиця,Святошинський
Мальовничий,провулок,Святошинський
Маміна-Сибіряка,вулиця,Солом'янський
Маньківська,вулиця,Дарницький
Марганецька,вулиця,Дніпровський
Марганецький,провулок,Дніпровський
Маричанська,вулиця,Голосіївський
Марії Капніст,вулиця,Шевченківський
Марка Вовчка,вулиця,Оболонський
Марка Черемшини,вулиця,Дніпровський
Маркса Карла,вулиця,Деснянський
Маркса Карла,вулиця,Солом'янський
Маркса Карла,вулиця,Дарницький
Мартиросяна,вулиця,Солом'янський
Марусі Чурай,провулок,Солом'янський
Маршака,вулиця,Святошинський
Маршака,провулок,Святошинський
Маршака 2,провулок,Святошинський
Маршака 3,провулок,Святошинський
Маршальська,вулиця,Голосіївський
Мар'яненка Івана,провулок,Печерський
Маслівка,вулиця,Дарницький
Маслюченко Варвари,вулиця,Дарницький
Матеюка Миколи,вулиця,Деснянський
Матикіна Генерала,вулиця,Голосіївський
Матросова,вулиця,Деснянський
Матросова Олександра,вулиця,Печерський
Машиністівська,вулиця,"Дніпровський, Дарницький"
Машинобудівна,вулиця,Солом'янський
Машинобудівний,провулок,Солом'янський
Маяковського,вулиця,Деснянський
Маяковського Володимира,проспект,Деснянський
Медвинська,вулиця,Солом'янський
Медична,вулиця,Солом'янський
Медова,вулиця,Солом'янський
Медоносна,вулиця,Дарницький
Межигірська,вулиця,Подільський
Межова,вулиця,Подільський
Межовий,провулок,Подільський
Мейтуса Композитора,вулиця,Голосіївський
Меліоративна ,вулиця,Деснянський
Мельниченка,вулиця,Святошинський
Менделєєва,вулиця,Печерський
Металістів,вулиця,Солом'янський
Металістів,провулок,Солом'янський
Метробудівська,вулиця,Солом'янський
Метрологічна,вулиця,Голосіївський
Мефодіївський,провулок,Шевченківський
Мечнікова,вулиця,Печерський
Микешина,вулиця,Дніпровський
Микитенка Івана,вулиця,Дніпровський
Микільський,провулок,Печерський
Микільсько-Ботанічна,вулиця,Голосіївський
Микільсько-Слобідська,вулиця,Дніпровський
Миколайчука Івана,вулиця,Дніпровський
Миколи Богуславського,вулиця,Святошинський
Миколи Голего,вулиця,Солом'янський
Миколи Левитського,вулиця,Голосіївський
Миколи Носова,вулиця,Святошинський
Миколи Плав'юка,вулиця,Оболонський
Миколи Рябовола,вулиця,Голосіївський
Миколи Хвильового ,вулиця,Дарницький
Милославська,вулиця,Деснянський
Милославський,провулок,Деснянський
Мильний,провулок,Подільський
Мирна,вулиця,Шевченківський
Миронівська,вулиця,Солом'янський
Миропільська,вулиця,"Деснянський, Дніпровський"
Миру,проспект,Дніпровський
Миру,вулиця,Деснянський
Миру,вулиця,Святошинський
Миру,провулок,Святошинський
Мисливська,вулиця,Дарницький
Мисливська,вулиця,Голосіївський
Мисливський,провулок,Голосіївський
Мистецька,вулиця,Голосіївський
Митрополита Андрея Шептицького,вулиця,Дніпровський
Митрополита Володимира Сабодана,вулиця,Деснянський
Митрофана Довнар-Запольського,вулиця,Шевченківський
Михайла Білинського,вулиця,Деснянський
Михайла Дерегуса,вулиця,Солом'янський
Михайла Лучкая ,вулиця,Солом’янський
Михайла Омеляновича-Павленка,вулиця,Печерський
Михайла Петренка,вулиця,Голосіївський
Михайла Рибакова,вулиця,Святошинський
Михайлівська,вулиця,Шевченківський
Михайлівська,площа,Шевченківський
Михайлівський,провулок,Шевченківський
Михайля Семенка,вулиця,Голосіївський
Мишуги Олександра,вулиця,Дарницький
Міжнародна,вулиця,Святошинський
Міжозерна (Західно-Кільцева),вулиця,Дарницький
Мілени Рудницької,вулиця,Дарницький
Мілютенка,вулиця,Деснянський
Мініна,вулиця,Дніпровський
Мінська,вулиця,Подільський
Мінська,площа,Оболонський
Мінський,провулок,Подільський
Мінський,проспект,Оболонський
Мірошниченко Євгенії,вулиця,Шевченківський
