street,type,district
Міська ,вулиця,"Оболонський, Подільський, Святошинський"
Місячна,вулиця,Солом'янський
Міцкевича Адама,вулиця,Солом'янський
Мічуріна,вулиця,Печерський
Мічуріна,провулок,Печерський
Мічуріна,вулиця,Солом'янський
Мічуріна,вулиця,Деснянський
Мічуріна,вулиця,Оболонський
Млинна,вулиця,Дарницький
Млієвська ,вулиця,Подільський
Модзалевського Вадима,вулиця,Деснянський
Можайська,вулиця,Солом'янський
Молдовська,вулиця,Шевченківський
Молодіжна,вулиця,Солом'янський
Молодіжний,провулок,Деснянський
Молодогвардійська ,вулиця,Солом'янський
Моложанська,вулиця,Деснянський
Молокова,вулиця,Солом'янський
Молочанська,вулиця,Дарницький
Молочанський,провулок,Дарницький
Монтажників ,вулиця,Солом'янський
Моринецька,вулиця,Подільський
Моринецький,провулок,Подільський
Москаленка Маршала,вулиця,Дарницький
Москвіна,вулиця,Голосіївський
Москвіна,провулок,Голосіївський
Москворецька,вулиця,Святошинський
Московська,вулиця,Печерський
Московська,вулиця,Солом'янський
Московський,провулок,Солом'янський
Мостицька ,вулиця,Подільський
Мостищанська,вулиця,Деснянський
Мостищанський,провулок,Деснянський
Мостова,вулиця,Солом'янський
Мостова,вулиця,Дарницький
Мостовий,провулок,Солом'янський
Моторна ,вулиця,Голосіївський
Моторний ,провулок,Голосіївський
Музейний ,провулок,Печерський
Музичанська,вулиця,Святошинський
Мукачівська,вулиця,Оболонський
Мурашка Миколи,вулиця,Шевченківський
Мурманська ,вулиця,Деснянський
Муромська,вулиця,Шевченківський
Муромська,вулиця,Деснянський
М'ятна,вулиця,Солом'янський
Набережна,вулиця,Солом'янський
Набережна,вулиця,Дарницький
Набережна ,вулиця,Дарницький
Набережна 1,вулиця,Дарницький
Набережна 10-та,вулиця,Дарницький
Набережна 11-та,вулиця,Дарницький
Набережна 12-та,вулиця,Дарницький
Набережна 13-та,вулиця,Дарницький
Набережна 14-та,вулиця,Дарницький
Набережна 15-та,вулиця,Дарницький
Набережна 2,вулиця,Дарницький
Набережна 3,вулиця,Дарницький
Набережна 4,вулиця,Дарницький
Набережна 5,вулиця,Дарницький
Набережна 6,вулиця,Дарницький
Набережна 7,вулиця,Дарницький
Набережна 8-ма,вулиця,Дарницький
Набережна 9-та,вулиця,Дарницький
Набережне,шосе,"Печерський, Подільський"
Набережний,провулок,Голосіївський
Набережно-Жилянська,вулиця,Голосіївський
Набережно-Корчуватська,вулиця,Голосіївський
Набережно-Лугова,вулиця,Подільський
Набережно-Печерська,дорога,"Голосіївський, Печерський "
Набережно-Рибальська,дорога,Подільський
Набережно-Хрещатицька,вулиця,Подільський
Навашина Академіка,вулиця,Оболонський
Навої Алішера,проспект,Дніпровський
Нагірна,вулиця,Шевченківський
Нагірний,провулок,Шевченківський
Наддніпрянське,шосе,"Голосіївський, Печерський "
Надії,вулиця,Деснянський
Над'ярна,вулиця,Солом'янський
Назарівська,вулиця,Шевченківський
Назарія Яремчука,вулиця,Голосіївський
Нарбута Георгія,вулиця,Подільський
Народна,вулиця,Солом'янський
Народний,провулок,Солом'янський
Народного Ополчення,вулиця,Солом'янський
Науки,проспект,Голосіївський
Наумова Генерала,вулиця,Святошинський
Наумовича Володимира,вулиця,Святошинський
Нахімова,вулиця,Подільський
Нахімова,вулиця,Деснянський
Національної Гвардії,вулиця,Деснянський
Невський,провулок,Шевченківський
Незалежності ,майдан,Шевченківський
Некрасівська,вулиця,Шевченківський
Некрасова,вулиця,Деснянський
Нектарна,вулиця,Дарницький
Немировича-Данченка,вулиця,Печерський
Нестайка Всеволода,вулиця,Дніпровський
Нестерова ,вулиця,Шевченківський
Несторівський,провулок,Шевченківський
Неходи Івана,вулиця,Солом'янський
Нечуя-Левицького,вулиця,Солом'янський
Нечуя-Левицького,провулок,Солом'янський
Нивська,вулиця,Шевченківський
Нижній Вал,вулиця,Дарницький
Нижній Вал,вулиця,Подільський
Нижньоключова,вулиця,Солом'янський
Нижньоюрківська,вулиця,Подільський
Нижньоюрківський,провулок,Шевченківський
Низинна,вулиця,Голосіївський
Никифора Дровняка,вулиця,Деснянський
Ніжинська,вулиця,Солом'янський
Ніколаєва Архітектора,вулиця,Деснянський
Нікопольська,вулиця,Голосіївський
Ніла Хасевича,вулиця,Солом’янський
Німанська,вулиця,Печерський
Німецька,вулиця,"Голосіївський, Печерський"
Ніщинського Петра,вулиця,Солом'янський
Нова 1-ша,вулиця,Подільський
Нова 2-га,вулиця,Подільський
Нова 3-тя,вулиця,Подільський
Нова 4-та,вулиця,Подільський
Новаторів,вулиця,Дніпровський
Новаторів,провулок,Дніпровський
Новгородська,вулиця,Солом'янський
Новикова-Прибоя,вулиця,Оболонський
Нововокзальна,вулиця,Солом'янський
Новогоспітальна,вулиця,Печерський
Ново-Дарницька,вулиця,Дарницький
Новодачний,провулок,Солом'янський
Новозабарська,вулиця,Оболонський
Новокодацька,вулиця,Солом'янський
Ново-Корчуватська,вулиця,Голосіївський
Новокостянтинівська,вулиця,"Оболонський, Подільський"
Новомакарівська,вулиця,Шевченківський
Новомічурінська,вулиця,Солом'янський
Новомостицька,вулиця,Подільський
Новонаводницький,провулок,Печерський
Новонародний,провулок,Солом'янський
Новопечерський,провулок,Печерський
Новопирогівська,вулиця,Голосіївський
Новопольова,вулиця,Солом'янський
Новорічна,вулиця,Солом'янський
Новоселицька,вулиця,Печерський
Новоселицький,провулок,Печерський
Новоукраїнська,вулиця,Шевченківський
Оболонська,набережна,Оболонський
Оболонська,площа,Оболонський
Оболонська,вулиця,Подільський
Оболонський,проспект,Оболонський
Оборони Києва,вулиця,Святошинський
Оборонна,вулиця,Солом'янський
Оборонний,провулок,Солом'янський
Обсерваторна,вулиця,Шевченківський
Обухівська,вулиця,Святошинський
Овочевий,провулок,Шевченківський
Овруцька,вулиця,Шевченківський
Огарьова,вулиця,Святошинський
Огієнка Івана,вулиця,Солом'янський
Огіркова,вулиця,Подільський
Одеська,вулиця,Солом'янський
Одеська,площа,Голосіївський
Одоєвського,вулиця,Подільський
Одоєвського,провулок,Подільський
Ожинова (Озерна 4),вулиця,Дарницький
Озерна,вулиця,Оболонський
Озерна,вулиця,Солом'янський
Озерна,вулиця,Дарницький
Озерна,вулиця,"Святошинський (СТ ""Нивки"")"
Озерна 1,вулиця,Дарницький
Озерна 1,вулиця,Дарницький
Озерна 2,вулиця,Дарницький
Озерна 2,вулиця,Дарницький
Озерна 3,вулиця,Дарницький
Озерна 4-та,вулиця,Дарницький
Озерний,провулок,Дарницький
Окіпної Раїси,вулиця,Дніпровський
Олевська,вулиця,Святошинський
Олегівська,вулиця,Шевченківський
Олександра Богомазова,вулиця,Солом'янський
Олександра Олеся,вулиця,Подільський
Олександра Осецького,вулиця,Голосіївський
Олександра Удовиченка,вулиця,Голосіївський
Олександрівська,вулиця,Деснянський
Олександрівська,вулиця,Шевченківський
Олекси Синявського,вулиця,Святошинський
Олекси Тихого,вулиця,Солом'янський
Олексіївська,вулиця,Солом'янський
Олексія Береста,вулиця,Святошинський
Олени Апанович,вулиця,Голосіївський
Олени Курило,вулиця,Святошинський
Олени Пчілки,вулиця,Дарницький
Оленівська,вулиця,Подільський
Олійника Степана,вулиця,Дарницький
Ольгинська,вулиця,Печерський
Ольжича,вулиця,Шевченківський
Омелютинська,вулиця,Печерський
Омеляна Поповича,вулиця,Голосіївський
Онискевича Григорія,вулиця,Святошинський
Опришківська,вулиця,Дніпровський
Оранжерейна,вулиця,Шевченківський
Орбітна,вулиця,Голосіївський
Організаторська,вулиця,Солом'янський
Ореста Субтельного,вулиця,Оболонський
Ореста Чемеринського,вулиця,Деснянський
Орлика Пилипа,вулиця,Печерський
Орловська,вулиця,Шевченківський
Орловський,провулок,Шевченківський
Орська,вулиця,Подільський
Орхідейна,вулиця,Дарницький
Освіти,вулиця,Солом'янський
Осиповського,вулиця,Подільський
Осінній,провулок,Святошинський
Осіння,вулиця,Святошинський
Оскольська,вулиця,Голосіївський
Оскольський,провулок,Голосіївський
Осокорська,вулиця,Дарницький
Осокорський,провулок,Дарницький
Остапа Вересая,вулиця,Голосіївський
Остапа Вишні,вулиця,Печерський
Остерська,вулиця,Дніпровський
Остерський,провулок,Дніпровський
Острівна,вулиця,Голосіївський
Острівна 1,вулиця,Голосіївський
Острівна 2,вулиця,Голосіївський
Отця Анатолія Жураковського,вулиця,Солом'янський
Охтирська,вулиця,Солом'янський
Охтирський,провулок,Голосіївський
Очаківська,вулиця,Солом'янський
Очаківський,провулок,Солом'янський
Павла Филиповича,вулиця,Деснянський
Павла Чубинського,вулиця,Дарницький
Павленка,провулок,Святошинський
Павленка,вулиця,Святошинський
Павлівська,вулиця,Шевченківський
Павлоградська,вулиця,Подільський
Палладіна Академіка,проспект,Святошинський
Памви Беринди,провулок,Печерський
Панаса Мирного,вулиця,Печерський
Панаса Мирного,провулок,Печерський
Панорамна,вулиця,Голосіївський
Пантелеймонівська,вулиця,Голосіївський
Пантелькіна Анатолія,вулиця,Святошинський
Панча Петра,вулиця,Оболонський
Паньківська,вулиця,Голосіївський
Параджанова Сергія,вулиця,Шевченківський
Параджанова Сергія,провулок,Шевченківський
Парашутистів,вулиця,Святошинський
Парашутистів,провулок,Святошинський
Паркова,вулиця,Подільський
Паркова,дорога,Печерський
Парковий,провулок,Подільський
Парково-Сирецька,вулиця,Шевченківський
Парникова,вулиця,Голосіївський
Паровозна,вулиця,Дніпровський
Паровозний,провулок,Дніпровський
Пасічна,вулиця,Дарницький
Пасхаліна Юрія,вулиця,Дарницький
Патона Академіка,провулок,Подільський
Паторжинського,вулиця,Шевченківський
Патріарха Володимира Романюка,вулиця,Святошинський
Патріарха Мстислава Скрипника,вулиця,Солом'янський
Патріотів,вулиця,Солом'янський
Паустовського,вулиця,Солом'янський
Пашківська,вулиця,Святошинський
Первомайського Леоніда,вулиця,Печерський
Передова,вулиця,Голосіївський
Перемоги,площа,Шевченківський
Перемоги,проспект,"Шевченківський, Святошинський, Солом'янський"
Перемоги,вулиця,Святошинський
Пересіченський,провулок,Голосіївський
Переяславська,вулиця,Подільський
Переяславська,вулиця,Дарницький
Перова,бульвар,Дніпровський
Персикова (Озерна 16),вулиця,Дарницький
Перша,вулиця,Оболонський
Першого Травня ,вулиця,Дарницький
Пестеля Павла,вулиця,Шевченківський
Петлюри Симона,вулиця,Шевченківський
Петра Дорошенка,вулиця,Святошинський
Петра Радзіня,вулиця,Дарницький
Петрицького Анатолія,вулиця,Святошинський
Петріва Всеволода,провулок,Шевченківський
Петрівська,алея,Печерський
Петрівська,вулиця,Шевченківський
Петропавлівська,площа,Оболонський
Петропавлівська,вулиця,Подільський
Петропавлівський,провулок,Подільський
Петрусенко Оксани,вулиця,Голосіївський
Печенізька,вулиця,Шевченківський
Печерська,площа,Печерський
Печерський,узвіз,Печерський
Пилипа Коновала,вулиця,"Голосіївський, Солом’янський"
Пилипа Морачевського,вулиця,Голосіївський
Пилипівський,провулок,Шевченківський
Пимоненка Миколи,вулиця,Шевченківський
Пирнівська,вулиця,Деснянський
Пирогівський шлях,вулиця,Голосіївський
Пирогова,вулиця,Шевченківський
Пироговського Олександра,вулиця,Солом'янський
Пирятинська,вулиця,Печерський
Пирятинський,провулок,Печерський
Писаржевського Академіка,вулиця,Голосіївський
Південна,вулиця,Шевченківський
Північна,вулиця,Оболонський
Північна,вулиця,Дніпровський
Північний,провулок,Святошинський
Північно-Озерна,вулиця,Дарницький
Північно-Озерний 1,провулок,Дарницький
Північно-Озерний 10,провулок,Дарницький
Північно-Озерний 2,провулок,Дарницький
Північно-Озерний 3,провулок,Дарницький
Північно-Озерний 4,провулок,Дарницький
Північно-Озерний 5,провулок,Дарницький
Північно-Озерний 6,провулок,Дарницький
Північно-Озерний 7,провулок,Дарницький
Північно-Озерний 8,провулок,Дарницький
Північно-Озерний 9,провулок,Дарницький
Північно-Сирецька,вулиця,Подільський
Північно-Степова,вулиця,Дарницький
Підбірна,вулиця,Дарницький
Підбірна,вулиця,Голосіївський
Підбірний,провулок,Голосіївський
Підвисоцького Професора,вулиця,Печерський
Підгірна,вулиця,Шевченківський
Піддубного Івана,вулиця,Солом'янський
Підлипка,вулиця,Дарницький
Підлісна,вулиця,Святошинський
Пілот,вулиця,Дніпровський
Пітерська,вулиця,Солом'янський
Піхотна,вулиця,Подільський
Піхотний,провулок,Подільський
Піхтова,вулиця,Дарницький
Пішохідний,провулок,Печерський
Планерна,вулиця,Солом'янський
Планетарна,вулиця,Солом'янський
Планетна,вулиця,Голосіївський
Платонівська,вулиця,Солом'янський
Платонівський,провулок,Солом'янський
Плахотнюка Миколи,вулиця,Деснянський
Плеханова,вулиця,Дніпровський
Плещеєва,провулок,Голосіївський
Плещеєва,вулиця,Голосіївський
Плодова,вулиця,Святошинський
Пляхівська,вулиця,Деснянський
Повздовжня 1,вулиця,Оболонський
Повздовжня 2,вулиця,Оболонський
Повітрофлотська,вулиця,Солом'янський
Повітрофлотський,проспект,"Шевченківський, Солом'янський"
Подільський,провулок,Подільський
Подільський,узвіз,Шевченківський
Пожарського,вулиця,Дніпровський
Пожарського,вулиця,Деснянський
Позняківська,вулиця,Дарницький
Позняківський,провулок,Дарницький
Покотила Володимира,вулиця,Святошинський
Покровська,вулиця,Подільський
Ползунова,вулиця,Солом'янський
Поліська,вулиця,Дарницький
Поліський,провулок,Дарницький
Політехнічна,вулиця,Солом'янський
Політехнічний,провулок,"Солом'янський, Шевченківський"
Полкова,вулиця,Подільський
Полковий,провулок,Подільський
Половецька,вулиця,Шевченківський
Полонської-Василенко,вулиця,Голосіївський
Полоцький,провулок,Голосіївський
Полтавська,вулиця,Шевченківський
Польова,вулиця,Солом'янський
Польова,вулиця,Деснянський
Польова,вулиця,Дарницький
Польовий,провулок,Солом'янський
Польовий 1,провулок,Дарницький
Полякова Олександра,вулиця,Печерський
Полянська,вулиця,Шевченківський
Полянський,провулок,Шевченківський
Полярна,вулиця,Оболонський
Помаранчева,вулиця,Солом'янський
Помильська,вулиця,Деснянський
Пономарьова,вулиця,Святошинський
Попельнянська,вулиця,Солом'янський
Поперечна 1,вулиця,Оболонський
Поперечна 2,вулиця,Оболонський
Поперечна 3,вулиця,Оболонський
Поперечна 4,вулиця,Оболонський
Попова,провулок,Оболонський
Попова,вулиця,Оболонський
Попудренка,вулиця,"Дніпровський, Деснянський"
Порика Василя,проспект,Подільський
Порічкова,вулиця,Подільський
Пост-Волинська,вулиця,Солом'янський
Постова,вулиця,Солом'янський
Потапова Генерала,вулиця,Святошинський
Потебні Академіка,вулиця,Солом'янський
Потєхіна Полковника,вулиця,Голосіївський
Потоцького Павла,вулиця,Солом'янський
Похила,вулиця,Солом'янський
Почайнинська,вулиця,Подільський
Поштова,площа,Подільський
Правди,проспект,Подільський
Правобережна,вулиця,Печерський
Празька,вулиця,Дніпровський
Практична,вулиця,Солом'янський
Праці,бульвар,Дніпровський
Предславинська,вулиця,Печерський
Преображенська,вулиця,Солом'янський
Пржевальського,вулиця,Солом'янський
Прибережна ,вулиця,Дніпровський
Прибережна Садова,вулиця,Дніпровський
Привітна,вулиця,Солом'янський
Привокзальна,вулиця,Дарницький
Привокзальна,площа,Дарницький
Призалізнична,вулиця,Дніпровський
Приймаченко Марії,бульвар,Печерський
Приколійна,вулиця,Дарницький
Прикордонна,вулиця,Деснянський
Приладний,провулок,Святошинський
Прилужна,вулиця,Святошинський
Приозерна,вулиця,Дарницький
Приозерна,вулиця,Оболонський
Прип'ятська,вулиця,Дарницький
Прип'ятський,провулок,Дарницький
Прирічна,вулиця,Оболонський
Притисько-Микільська,вулиця,Подільський
Причальна,вулиця,Дарницький
Пришвіна,вулиця,Святошинський
Пріорська,вулиця,Оболонський
Провіантська,вулиця,Шевченківський
Провідницька,вулиця,Солом'янський
Продольна 1,вулиця,Оболонський
Продольна 2,вулиця,Оболонський
Проектна,вулиця,Святошинський
Проектна - 13125 (1-ша Абрикосова),вулиця,Дарницький
Проектна - 13126 (2-га Абрикосова),вулиця,Дарницький
Проектна - 13127 (3-тя Абрикосова),вулиця,Дарницький
Проектна - 13128 (4-та Абрикосова),вулиця,Дарницький
Проектна - 13129 (5-та Абрикосова),вулиця,Дарницький
Проектна - 13130 (6-та Абрикосова),вулиця,Дарницький
Проектна - 13131 (7-ма Абрикосова),вулиця,Дарницький
Проектна - 13132 (8-ма Абрикосова),вулиця,Дарницький
Проектна - 13133 (9-та Абрикосова),вулиця,Дарницький
Проектна - 13134 (10-та Абрикосова),вулиця,Дарницький
Проектна - 13135 (11-та Абрикосова),вулиця,Дарницький
Проектна - 13136 (12-та Абрикосова),вулиця,Дарницький
Проектна - 13137 (13-та Абрикосова),вулиця,Дарницький
Прокоповича Петра,вулиця,Дарницький
Пролетарська,вулиця,Голосіївський
Пролетарський,провулок,Голосіївський
Промениста,вулиця,Деснянський
Промениста,вулиця,Солом'янський
Промислова,вулиця,Дарницький
Промислова,вулиця,Голосіївський
Промисловий,провулок,Дарницький
Прополісний,провулок,Дарницький
Прорізна,вулиця,Шевченківський
Прорізна,вулиця,Святошинський
Прорізний,провулок,Святошинський
Протасів Яр,вулиця,Солом'янський
Професора Делоне,вулиця,Солом'янський
Профспілкова,вулиця,Дніпровський
Профспілковий,провулок,Дніпровський
Проценко Людмили,вулиця,Солом'янський
Псковська,вулиця,Голосіївський
Псковський,провулок,Голосіївський
Пулюя Івана,вулиця,Солом'янський
Путивльська,вулиця,Деснянський
Путивльський,провулок,Деснянський
Пухівська,вулиця,Деснянський
Пухова Генерала,вулиця,Святошинський
Пушиної Феодори,вулиця,Святошинський
Пушкіна,вулиця,Деснянський
Пушкінська,вулиця,Шевченківський
Пуща-Водицька,вулиця,Подільський
Пуща-Водицький,провулок,Подільський
Пшенична,вулиця,Святошинський
П'ята,вулиця,Оболонський
П'ятигорська,вулиця,Голосіївський
П'ятигорський,провулок,Голосіївський
Радистів,вулиця,Деснянський
Радистів,провулок,Деснянський
Радистів,провулок,Деснянський
Радистів 1,провулок,Деснянський
Радистів 2,провулок,Деснянський
Радистів 3,провулок,Деснянський
Радищева,вулиця,Солом'янський
Радищева,провулок,Солом'янський
Радіальна,вулиця,Печерський
Радісна,вулиця,Солом'янський
Радісний,провулок,Дарницький
Радомишльська,вулиця,Оболонський
Радосинська,вулиця,Деснянський
Радунська,вулиця,Деснянський
Радченка Петра,вулиця,Солом'янський
Радченко Клавдії,вулиця,Голосіївський
Раєвського Миколи,вулиця,Печерський
Райгородська,вулиця,Голосіївський
Райгородський,провулок,Голосіївський
Райдужна,вулиця,Дніпровський
Ракетна,вулиця,Голосіївський
Ранетна,вулиця,Подільський
Рататюків,провулок,Голосіївський
Рахманінова,вулиця,Святошинський
Ревуцького,вулиця,Дарницький
Регенераторна,вулиця,Дніпровський
Редутна,вулиця,Печерський
Редутний,провулок,Печерський
Редьчинська,вулиця,Оболонський
Редьчинський ,проїзд,Оболонський
Резервна,вулиця,Оболонський
Рейтарська,вулиця,Шевченківський
Ремісничий,провулок,Голосіївський
Ремонтна,вулиця,Дарницький
Ржевський,провулок,Голосіївський
Ржищівська,вулиця,Печерський
Рибака Натана,вулиця,Деснянський
Рибалка Маршала,вулиця,Шевченківський
Рибальська,вулиця,Печерський
Рибна,вулиця,Солом'янський
Рибний,провулок,Солом'янський
Риболовецька,вулиця,Голосіївський
Ризька,вулиця,Шевченківський
Рилєєва,вулиця,Подільський
Рилєєва,провулок,Подільський
Рильський,провулок,Шевченківський
Рильського Максима,вулиця,Голосіївський
Римського-Корсакова,вулиця,Голосіївський
Ринковий ,провулок,Шевченківський
Різдвяна,вулиця,Солом'янський
Різницька,вулиця,Печерський
Річна,вулиця,Шевченківський
Роберта Конквеста,вулиця,Деснянський
Робітнича,вулиця,Святошинський
Робітнича,вулиця,Солом'янський
Робітничий,провулок,Святошинський
Рогнідинська,вулиця,Печерський
Рогозівська,вулиця,Дніпровський
Родимцева Генерала,вулиця,Голосіївський
Родини Вороних,вулиця,Деснянський
Родини Кістяківських,вулиця,Голосіївський
Родини Костюків,вулиця,Оболонський
Родини Крістерів,вулиця,Подільський
Родини Рудинських,вулиця,Дарницький
Рожева,вулиця,Подільський
Рожевий,провулок,Подільський
Рожнівська,вулиця,Оболонський
Рожнянська,вулиця,Деснянський
Розважівський,провулок,Подільський
Роздільна,вулиця,Солом'янський
Рокитнянська,вулиця,Святошинський
Рокоссовського Маршала,проспект,Оболонський
Роллана Ромена,бульвар,Святошинський
Романа Шухевича,проспект,"Деснянський, Дніпровський"
Романова Михайла,вулиця,Голосіївський
Ромоданівська,вулиця,Печерський
Россошанська,вулиця,Дарницький
Ростовська,вулиця,Подільський
Рощинський,провулок,Солом'янський
Рубежівська,вулиця,Святошинський
Рубежівський,провулок,Святошинський
Рубіновий,провулок,Деснянський
Руданського Степана,вулиця,Шевченківський
Руденко Лариси,вулиця,Дарницький
Ружинська,вулиця,Шевченківський
Ружинський,провулок,Шевченківський
Русанівська ,набережна,Дніпровський
Русанівський,бульвар,Дніпровський
Русової Софії,вулиця,Дарницький
Руставелі Шота,вулиця,Печерський
Рябова Олега,вулиця,Голосіївський
Рясний,провулок,Подільський
Саврасова,вулиця,Солом'янський
Сагайдачного Петра,вулиця,Подільський
Садова,вулиця,Оболонський
Садова,вулиця,Солом'янський
Садова,вулиця,Дарницький
Садова,вулиця,Деснянський
Садова,вулиця,Дніпровський
Садова,вулиця,Голосіївський
Садова,вулиця,Печерський
Садова 1,вулиця,Дарницький
Садова 1,вулиця,Святошинський
Садова 1,вулиця,Святошинський
Садова 1,вулиця,Дніпровський
Садова 1,вулиця,Оболонський
Садова 1,вулиця,Святошинський
Садова 10,вулиця,Святошинський
Садова 10,вулиця,Оболонський
Садова 10,вулиця,Дніпровський
Садова 100,вулиця,Дарницький
Садова 101,вулиця,Дарницький
Садова 102,вулиця,Дарницький
Садова 103,вулиця,Дарницький
Садова 104,вулиця,Дарницький
Садова 105,вулиця,Дарницький
Садова 106,вулиця,Дарницький
Садова 107,вулиця,Дарницький
Садова 108,вулиця,Дарницький
Садова 109,вулиця,Дарницький
Садова 11,вулиця,Дніпровський
Садова 11,вулиця,Святошинський
Садова 11,вулиця,Оболонський
Садова 110,вулиця,Дарницький
Садова 111,вулиця,Дарницький
Садова 112,вулиця,Дарницький
Садова 113,вулиця,Дарницький
Садова 114,вулиця,Дарницький
Садова 115,вулиця,Дарницький
Садова 116,вулиця,Дарницький
Садова 117,вулиця,Дарницький
Садова 118,вулиця,Дарницький
Садова 118а,вулиця,Дарницький
Садова 119,вулиця,Дарницький
Садова 12,вулиця,Святошинський
Садова 12,вулиця,Оболонський
Садова 12,вулиця,Дніпровський
Садова 120,вулиця,Дарницький
Садова 121,вулиця,Дарницький
Садова 122,вулиця,Дарницький
Садова 123,вулиця,Дарницький
Садова 124,вулиця,Дарницький
Садова 125,вулиця,Дарницький
Садова 126,вулиця,Дарницький
Садова 127,вулиця,Дарницький
Садова 128,вулиця,Дарницький
Садова 129,вулиця,Дарницький
Садова 13,вулиця,Святошинський
Садова 13,вулиця,Оболонський
Садова 13,вулиця,Дніпровський
Садова 130,вулиця,Дарницький
Садова 131,вулиця,Дарницький
Садова 132,вулиця,Дарницький
Садова 133,вулиця,Дарницький
Садова 134,вулиця,Дарницький
Садова 135,вулиця,Дарницький
Садова 136,вулиця,Дарницький
Садова 137,вулиця,Дарницький
Садова 138,вулиця,Дарницький
Садова 139,вулиця,Дарницький
Садова 14,вулиця,Святошинський
Садова 14,вулиця,Дніпровський
Садова 14,вулиця,Оболонський
Садова 15,вулиця,Оболонський
Садова 15,вулиця,Святошинський
Садова 15,вулиця,Дніпровський
Садова 150,вулиця,Дарницький
Садова 153,вулиця,Дарницький
Садова 154,вулиця,Дарницький
Садова 155,вулиця,Дарницький
Садова 156,вулиця,Дарницький
Садова 157,вулиця,Дарницький
Садова 158,вулиця,Дарницький
Садова 159,вулиця,Дарницький
Садова 16,вулиця,Дніпровський
Садова 16,вулиця,Святошинський
Садова 16,вулиця,Оболонський
Садова 160,вулиця,Дарницький
Садова 161,вулиця,Дарницький
Садова 162,вулиця,Дарницький
Садова 163,вулиця,Дарницький
Садова 164,вулиця,Дарницький
Садова 165,вулиця,Дарницький
Садова 166,вулиця,Дарницький
Садова 167,вулиця,Дарницький
Садова 168,вулиця,Дарницький
Садова 169,вулиця,Дарницький
Садова 17,вулиця,Святошинський
Садова 17,вулиця,Дніпровський
Садова 17,вулиця,Оболонський
Садова 18,вулиця,Оболонський
Садова 18,вулиця,Дніпровський
Садова 18,вулиця,Святошинський
Садова 180,вулиця,Дарницький
Садова 182,вулиця,Дарницький
Садова 183,вулиця,Дарницький
Садова 19,вулиця,Дніпровський
Садова 19,вулиця,Святошинський
Садова 191,вулиця,Дарницький
Садова 192,вулиця,Дарницький
Садова 193,вулиця,Дарницький
Садова 2,вулиця,Оболонський
Садова 2,вулиця,Оболонський
Садова 2,вулиця,Святошинський
Садова 2,вулиця,Дніпровський
Садова 2,вулиця,"Святошинський (СТ ""Нивки"")"
Садова 2,вулиця,Святошинський
Садова 2,вулиця,Дарницький
Садова 20,вулиця,Святошинський
Садова 20,вулиця,Дніпровський
Садова 200,вулиця,Дніпровський
Садова 201,вулиця,Дніпровський
Садова 202,вулиця,Дніпровський
Садова 203,вулиця,Дніпровський
Садова 204,вулиця,Дніпровський
Садова 205,вулиця,Дніпровський
Садова 206,вулиця,Дніпровський
Садова 207,вулиця,Дніпровський
Садова 208,вулиця,Дніпровський
Садова 209,вулиця,Дніпровський
Садова 21,вулиця,Дніпровський
Садова 21,вулиця,Святошинський
Садова 22,вулиця,Дніпровський
Садова 22,вулиця,Святошинський
Садова 23,вулиця,Дніпровський
Садова 23,вулиця,Оболонський
Садова 23,вулиця,Святошинський
Садова 24,вулиця,Дніпровський
Садова 24,вулиця,Оболонський
Садова 24,вулиця,Святошинський
Садова 25,вулиця,Оболонський
Садова 25,вулиця,Дніпровський
Садова 25,вулиця,Святошинський
Садова 26,вулиця,Святошинський
Садова 26,вулиця,Дніпровський
Садова 27,вулиця,Дніпровський
Садова 28,вулиця,Дніпровський
